asset_id,display_name,artist,image_url,is_active
c9940f13-5f3a-47f6-85e2-51975c908862,Berthe Morisot with a Bouquet of Violets,Édouard Manet,/images/FamousArtPortraitsRecommended/Berthe Morisot with a Bouquet of Violets-Édouard Manet.png,TRUE
1d726892-f50f-441d-96e6-3da27d86b307,Girl with a Pearl Earring,Johannes Vermeer,/images/FamousArtPortraitsRecommended/Girl with a Pearl Earring-Johannes Vermeer.png,TRUE
48237fcd-81b4-4d8e-a223-6e9d61ea0b74,La Primevere et La Plume,Alphonse Mucha,/images/FamousArtPortraitsRecommended/La Primevere et La Plume-Alphonse Mucha.png,TRUE
b7b8fa3f-c69d-4df1-afac-d170a2c790a7,Lady with an Ermine,Leonardo da Vinci,/images/FamousArtPortraitsRecommended/Lady with an Ermine-Leonardo da Vinci.png,TRUE
2c850f31-bd10-4e33-8b0a-5fe262142d72,Marchesa Brigida Spinola Doria,Peter Paul Rubens,/images/FamousArtPortraitsRecommended/Marchesa Brigida Spinola Doria-Peter Paul Rubens.png,TRUE
658c5e07-02b3-41ad-a582-b8873c336df6,Portrait Fritz Ridler,Klimt Gustav,/images/FamousArtPortraitsRecommended/Portrait Fritz Ridler-Klimt Gustav.png,TRUE
f95c574f-eee5-4417-bbd7-e275e658366d,Portrait of Armand Roulin,Vincent van Gogh,/images/FamousArtPortraitsRecommended/Portrait of Armand Roulin-Vincent van Gogh.png,TRUE
1bec6222-c385-49c0-85e4-da615cdcbcdc,Portrait of Josette Gris,Juan Gris,/images/FamousArtPortraitsRecommended/Portrait of Josette Gris-Juan Gris.png,TRUE
884e7670-5993-452c-993e-0722f6640413,Portrait of Madame Matisse. The Green Line,Henri Matisse,/images/FamousArtPortraitsRecommended/Portrait of Madame Matisse. The Green Line-Henri Matisse.png,TRUE
5d6e6a06-4d16-4407-bea9-d09f06a697f5,Portrait of Pablo Picasso,Juan Gris,/images/FamousArtPortraitsRecommended/Portrait of Pablo Picasso-Juan Gris.png,TRUE
a3fb343a-d05c-42cd-b71b-5613ec0bd413,Portrait of Wally,Egon Schiele,/images/FamousArtPortraitsRecommended/Portrait of Wally-Egon Schiele.png,TRUE
90669505-539d-4624-af3f-ae57d6dc960e,Portrait of William I King of the Netherlands,Joseph Paelinck,/images/FamousArtPortraitsRecommended/Portrait of William I King of the Netherlands-Joseph Paelinck.png,TRUE
d498021e-a389-4867-a44b-0d85d8d1acf5,Samuel F. B. Morse Self,Portrait,/images/FamousArtPortraitsRecommended/Samuel F. B. Morse Self-Portrait-Samuel F. B. Morse.png,TRUE
2d4dcefd-341a-4c84-8a9c-79c1f870ce3d,Seated Woman,Juan Gris,/images/FamousArtPortraitsRecommended/Seated Woman-Juan Gris.png,TRUE
5d965b6e-7999-45c9-85f6-dcad4f94c22c,Self Portrait in a Straw Hat, Élisabeth Vigée Le Brun,/images/FamousArtPortraitsRecommended/Self Portrait in a Straw Hat- Élisabeth Vigée Le Brun.png,TRUE
